codigo_interno,codigo_fornecedor,categoria,marca,descricao,genero,preco_custo,preco_venda,qtd_variantes,estoque_total
CINTO012,11824595,CINTO,PAUL WESTERN,COURO,UNISSEX,151.9,351.78,1,1
CINTO013,6361518176115,CINTO,PAUL WESTERN,COURO,UNISSEX,137.66,318.71,1,1
CINTO014,57680,CINTO,PAUL WESTERN,COURO,MASCULINO,75.91,175.8,1,1
CINTO015,91690,CINTO,PAUL WESTERN,COURO,MASCULINO,71.16,164.8,1,1
CINTO016,105795,CINTO,PAUL WESTERN,COURO,FEMININO,113.9,263.8,1,1
CINTO017,466120,CINTO,PAUL WESTERN,COURO,MASCULINO,74.9,175.78,1,1
CINTO018,1166100,CINTO,PAUL WESTERN,COURO,UNISSEX,109.16,252.7,1,1
CINTO019,78911025015826,CINTO,PAUL WESTERN,COURO,UNISSEX,137.66,318.71,1,1
FIVELA001,A37066-MF,FIVELA,ARIAT,METAL,MASCULINO,206.0,453.2,1,2
FIVELA002,A37022-MF,FIVELA,ARIAT,METAL,MASCULINO,153.0,336.6,1,1
FIVELA003,A37018,FIVELA,ARIAT,METAL,MASCULINO,153.0,336.6,1,1
FIVELA004,A37065-MF,FIVELA,ARIAT,METAL,MASCULINO,206.0,453.2,1,1
FIVELA005,A37005-MF,FIVELA,ARIAT,METAL,MASCULINO,170.0,374.0,1,1
FIVELA006,A37051-MF,FIVELA,ARIAT,METAL,MASCULINO,170.0,374.0,1,1
CS001,63615186838,CAMISA,FOR WEST,CROPPET,FEMININO,74.9,164.78,4,4
CS002,63615186838,CAMISA,FOR WEST,CROPPET,FEMININO,74.9,164.78,2,2
CS003,63615186838,CAMISA,FOR WEST,CROPPET,FEMININO,74.9,164.78,2,2
CS004,63615186838,CAMISA,FOR WEST,CROPPET,FEMININO,74.9,164.78,3,3
SHORT001,6361516571,SHORT,FOR WEST,TACTEL,MASCULINO,64.9,142.8,3,3
BOT001,456235151,BOTA,CLASSIC,BOTA TENIS,MASCULINO,265.91,615.9,1,1
BOT002,456260162,BOTA,CLASSIC,BOTA TENIS,MASCULINO,265.91,615.9,1,1
BOT003,45623540,BOTA,CLASSIC,BOTA TENIS,MASCULINO,265.91,615.9,1,1
BOT004,45626040,BOTA,CLASSIC,BOTA TENIS,MASCULINO,265.91,615.9,1,1
BOT005,456260162,BOTA,CLASSIC,BOTA TENIS,MASCULINO,265.91,615.9,1,1
