codigo_barras,produto_nome,variante_cor,variante_tamanho,quantidade_atual,preco_venda,preco_custo
BOT029-MAR-38.0,BOTA SHERIFF WEST COURO (FEMININO),MARROM,38.0,1,660.00,299.00
BOT027-MAR-39.0,BOTA SHERIFF WEST COURO (FEMININO),MARROM,39.0,1,660.00,299.00
BOT031-MAR-40.0,BOTA SHERIFF WEST COURO (FEMININO),MARROM,40.0,1,660.00,299.00
BOT021-VER-34.0,BOTA SHERIFF WEST COURO (FEMININO),VERDE,34.0,1,660.00,299.00
BOT018-VER-35.0,BOTA SHERIFF WEST COURO (FEMININO),VERDE,35.0,1,660.00,299.00
BOT017-VER-36.0,BOTA SHERIFF WEST COURO (FEMININO),VERDE,36.0,1,660.00,299.00
BOT020-VER-37.0,BOTA SHERIFF WEST COURO (FEMININO),VERDE,37.0,1,660.00,299.00
BOT022-VER-38.0,BOTA SHERIFF WEST COURO (FEMININO),VERDE,38.0,1,660.00,299.00
BOT019-VER-40.0,BOTA SHERIFF WEST COURO (FEMININO),VERDE,40.0,1,660.00,299.00
BOT026-VER-36.0,BOTA SHERIFF WEST COURO (FEMININO),VERMELHO,36.0,2,660.00,299.00
BOT024-VER-37.0,BOTA SHERIFF WEST COURO (FEMININO),VERMELHO,37.0,1,660.00,299.00
BOT025-VER-39.0,BOTA SHERIFF WEST COURO (FEMININO),VERMELHO,39.0,1,660.00,299.00
BOT008-PRE-37.0,BOTA SHERIFF WEST COURO (MASCULINO),PRETO/VERDE,37.0,1,590.00,269.00
BOT007-PRE-38.0,BOTA SHERIFF WEST COURO (MASCULINO),PRETO/VERDE,38.0,1,590.00,269.00
BOT023-PRE-39.0,BOTA SHERIFF WEST COURO (MASCULINO),PRETO/VERDE,39.0,1,590.00,269.00
BOT028-PRE-40.0,BOTA SHERIFF WEST COURO (MASCULINO),PRETO/VERDE,40.0,1,590.00,269.00
BOT009-PRE-41.0,BOTA SHERIFF WEST COURO (MASCULINO),PRETO/VERDE,41.0,1,590.00,269.00
BOT011-PRE-42.0,BOTA SHERIFF WEST COURO (MASCULINO),PRETO/VERDE,42.0,1,590.00,269.00
BOT012-PRE-43.0,BOTA SHERIFF WEST COURO (MASCULINO),PRETO/VERDE,43.0,1,590.00,269.00
BOT010-PRE-44.0,BOTA SHERIFF WEST COURO (MASCULINO),PRETO/VERDE,44.0,1,590.00,269.00
CAL057-AZU-48.0,CALCA CINCH BLACK LABEL 2 JEANS (MASCULINO),AZUL,48.0,1,860.00,390.00
CAL073-XXX-46.0,CALCA CINCH BLACK LABEL 2 JEANS (MASCULINO),,46.0,1,860.00,390.00
